season_type	season_stats_url
2023-24 Regular Season	https://chl.ca/ohl/stats/players/76/
2023 Pre-season	https://chl.ca/ohl/stats/players/75/
2023 Playoffs	https://chl.ca/ohl/stats/players/74/
2022-23 Regular Season	https://chl.ca/ohl/stats/players/73/
2022 Pre-season	https://chl.ca/ohl/stats/players/72/
2022 Playoffs	https://chl.ca/ohl/stats/players/71/
2021-22 Regular Season	https://chl.ca/ohl/stats/players/70/
2021 Pre-season	https://chl.ca/ohl/stats/players/69/
2019-20 Regular Season	https://chl.ca/ohl/stats/players/68/
2019 Pre-season	https://chl.ca/ohl/stats/players/67/
2019 Playoffs	https://chl.ca/ohl/stats/players/66/
2018-19 Regular Season	https://chl.ca/ohl/stats/players/63/
2018 Pre-season	https://chl.ca/ohl/stats/players/62/
2018 Playoffs	https://chl.ca/ohl/stats/players/61/
2017-18 Regular Season	https://chl.ca/ohl/stats/players/60/
2017 Pre-season	https://chl.ca/ohl/stats/players/59/
2017 Playoffs	https://chl.ca/ohl/stats/players/58/
2016-17 Regular Season	https://chl.ca/ohl/stats/players/56/
2016 Pre-season	https://chl.ca/ohl/stats/players/57/
2016 Playoffs	https://chl.ca/ohl/stats/players/55/
2015-16 Regular Season	https://chl.ca/ohl/stats/players/54/
2015 Pre-season	https://chl.ca/ohl/stats/players/53/
2015 Playoffs	https://chl.ca/ohl/stats/players/52/
2014-15 Regular Season	https://chl.ca/ohl/stats/players/51/
2014 Playoffs	https://chl.ca/ohl/stats/players/50/
2013-14 Regular Season	https://chl.ca/ohl/stats/players/49/
2013 Playoffs	https://chl.ca/ohl/stats/players/48/
2012-13 Regular Season	https://chl.ca/ohl/stats/players/46/
2012 Playoffs	https://chl.ca/ohl/stats/players/45/
2011-12 Regular Season	https://chl.ca/ohl/stats/players/44/
2011 Playoffs	https://chl.ca/ohl/stats/players/43/
2010-11 Regular Season	https://chl.ca/ohl/stats/players/42/
2010 Playoffs	https://chl.ca/ohl/stats/players/41/
2009-10 All-Star Classic	https://chl.ca/ohl/stats/players/40/
2009-10 Regular Season	https://chl.ca/ohl/stats/players/38/
2009 Playoffs	https://chl.ca/ohl/stats/players/37/
2008-09 All-Star Classic	https://chl.ca/ohl/stats/players/36/
2008-09 Regular Season	https://chl.ca/ohl/stats/players/35/
2008 Playoffs	https://chl.ca/ohl/stats/players/34/
2007-08 All-Star Classic	https://chl.ca/ohl/stats/players/33/
2007-08 Regular Season	https://chl.ca/ohl/stats/players/32/
2007 Playoffs	https://chl.ca/ohl/stats/players/31/
2006-07 All-Star Classic	https://chl.ca/ohl/stats/players/30/
2006-07 Regular Season	https://chl.ca/ohl/stats/players/29/
2006 Playoffs	https://chl.ca/ohl/stats/players/28/
2005-06 All Star Classic	https://chl.ca/ohl/stats/players/27/
2005-06 Regular Season	https://chl.ca/ohl/stats/players/26/
2005 Playoffs	https://chl.ca/ohl/stats/players/25/
2004-05 Regular Season	https://chl.ca/ohl/stats/players/24/
2004 Playoffs	https://chl.ca/ohl/stats/players/23/
2003-04 Regular Season	https://chl.ca/ohl/stats/players/21/
2003 Playoffs	https://chl.ca/ohl/stats/players/20/
2002-03 Regular Season	https://chl.ca/ohl/stats/players/17/
2002 Playoffs	https://chl.ca/ohl/stats/players/15/
2001-02 Regular Season	https://chl.ca/ohl/stats/players/14/
2001 Playoffs	https://chl.ca/ohl/stats/players/12/
2000-01 Regular Season	https://chl.ca/ohl/stats/players/11/
2000 Playoffs	https://chl.ca/ohl/stats/players/10/
1999-2000 Regular Season	https://chl.ca/ohl/stats/players/9/
1999 Playoffs	https://chl.ca/ohl/stats/players/7/
1998-99 Regular Season	https://chl.ca/ohl/stats/players/6/
1998 Playoffs	https://chl.ca/ohl/stats/players/5/
1997-98 Regular Season	https://chl.ca/ohl/stats/players/4/
